Type,Subtype,Count
rank,diamond,4999
rank,platinum,3764
rank,master,3639
rank,gold,1940
rank,grandmaster,1926
rank,top,1242
rank,bronze,862
rank,silver,556
fan,nrg,374
fan,envy,372
fan,cloud-9,348
fan,rogue,290
fan,lunatic-hai,219
fan,misfits,179
fan,liquid,153
fan,c9,127
fan,runaway,124
verified,,98
fan,ninjas-in-pyjamas,83
fan,envyus,75
fan,immortals,74
fan,faze,73
fan,fnatic,57
,,53
fan,nip,52
fan,fnc,43
fan,you-guys-get-paid,41
fan,meta-athena,39
fan,selfless,37
fan,counter-logic-gaming,33
fan,tempo-storm,33
fan,luxury-watch-red,31
fan,luminosity,30
fan,reunited,29
fan,renegades,29
fan,evil-geniuses,27
fan,lg-evil,27
fan,clg,24
fan,kongdoo-panthera,22
fan,storm,21
fan,dignitas,20
fan,eunited,19
fan,freecs-blue,19
fan,movistar-riders,19
fan,laser-kittenz,19
fan,blank,18
fan,col,13
fan,vivis-adventure,13
fan,method,12
fan,complexity,12
fan,scylla,12
fan,ldlc,11
fan,rise,11
fan,dig,11
fan,nga,10
fan,kongdoo-uncia,10
fan,brasil-gaming-house,9
fan,anox,9
fan,denial,8
fan,sodi,6
fan,vici-gaming,5
fan,invictus,4
fan,world-elite-white,4
fan,singularity-ninjas,4
fan,hammers,4
fan,lg-loyal,3
fan,freecs-red,3
fan,lunatic hai,3
moderator,,2
fan,freecs,2
None,2
fan,envision,2
fan,splyce,2
fan,melty,2
fan,flash-wolves,2
fan,red-reserve,2
fan,gale-force,2
fan,mighty,2
fan,team-celestial,1
fan,rhinos-gaming-wings,1
fan,x6-gaming,1
fan,bk-stars,1
blizzard,1
fan,wnv,1
